0.050 quantile:	acc: 0.9737	loss: 0.0801
0.100 quantile:	acc: 0.9742	loss: 0.0811
0.150 quantile:	acc: 0.9745	loss: 0.0819
0.200 quantile:	acc: 0.9748	loss: 0.0824
0.250 quantile:	acc: 0.9750	loss: 0.0830
0.300 quantile:	acc: 0.9751	loss: 0.0835
0.350 quantile:	acc: 0.9753	loss: 0.0839
0.400 quantile:	acc: 0.9754	loss: 0.0844
0.450 quantile:	acc: 0.9756	loss: 0.0849
0.500 quantile:	acc: 0.9757	loss: 0.0853
0.550 quantile:	acc: 0.9758	loss: 0.0858
0.600 quantile:	acc: 0.9760	loss: 0.0862
0.650 quantile:	acc: 0.9761	loss: 0.0867
0.700 quantile:	acc: 0.9763	loss: 0.0872
0.750 quantile:	acc: 0.9764	loss: 0.0878
0.800 quantile:	acc: 0.9766	loss: 0.0884
0.850 quantile:	acc: 0.9768	loss: 0.0892
0.900 quantile:	acc: 0.9770	loss: 0.0903
0.950 quantile:	acc: 0.9773	loss: 0.0920
Expectation:	acc: 0.9757	loss: 0.0856
Variance:	acc: 0.0000	loss: 0.0000
