0.050 quantile:	acc: 0.9739	loss: 0.0909
0.100 quantile:	acc: 0.9743	loss: 0.0917
0.150 quantile:	acc: 0.9745	loss: 0.0922
0.200 quantile:	acc: 0.9747	loss: 0.0927
0.250 quantile:	acc: 0.9749	loss: 0.0931
0.300 quantile:	acc: 0.9750	loss: 0.0934
0.350 quantile:	acc: 0.9751	loss: 0.0938
0.400 quantile:	acc: 0.9752	loss: 0.0941
0.450 quantile:	acc: 0.9753	loss: 0.0944
0.500 quantile:	acc: 0.9755	loss: 0.0947
0.550 quantile:	acc: 0.9756	loss: 0.0951
0.600 quantile:	acc: 0.9757	loss: 0.0954
0.650 quantile:	acc: 0.9758	loss: 0.0958
0.700 quantile:	acc: 0.9759	loss: 0.0962
0.750 quantile:	acc: 0.9760	loss: 0.0966
0.800 quantile:	acc: 0.9761	loss: 0.0970
0.850 quantile:	acc: 0.9763	loss: 0.0976
0.900 quantile:	acc: 0.9765	loss: 0.0983
0.950 quantile:	acc: 0.9768	loss: 0.0994
Expectation:	acc: 0.9754	loss: 0.0949
Variance:	acc: 0.0000	loss: 0.0000
