0.050 quantile:	acc: 0.9654	loss: 0.1031
0.100 quantile:	acc: 0.9664	loss: 0.1048
0.150 quantile:	acc: 0.9670	loss: 0.1060
0.200 quantile:	acc: 0.9675	loss: 0.1070
0.250 quantile:	acc: 0.9679	loss: 0.1079
0.300 quantile:	acc: 0.9682	loss: 0.1089
0.350 quantile:	acc: 0.9685	loss: 0.1097
0.400 quantile:	acc: 0.9688	loss: 0.1105
0.450 quantile:	acc: 0.9690	loss: 0.1113
0.500 quantile:	acc: 0.9693	loss: 0.1121
0.550 quantile:	acc: 0.9695	loss: 0.1130
0.600 quantile:	acc: 0.9697	loss: 0.1138
0.650 quantile:	acc: 0.9700	loss: 0.1148
0.700 quantile:	acc: 0.9702	loss: 0.1158
0.750 quantile:	acc: 0.9705	loss: 0.1170
0.800 quantile:	acc: 0.9707	loss: 0.1184
0.850 quantile:	acc: 0.9711	loss: 0.1200
0.900 quantile:	acc: 0.9714	loss: 0.1221
0.950 quantile:	acc: 0.9719	loss: 0.1260
Expectation:	acc: 0.9690	loss: 0.1130
Variance:	acc: 0.0000	loss: 0.0001
