0.050 quantile:	acc: 0.9556	loss: 0.1349
0.100 quantile:	acc: 0.9571	loss: 0.1380
0.150 quantile:	acc: 0.9580	loss: 0.1402
0.200 quantile:	acc: 0.9587	loss: 0.1420
0.250 quantile:	acc: 0.9592	loss: 0.1437
0.300 quantile:	acc: 0.9597	loss: 0.1452
0.350 quantile:	acc: 0.9601	loss: 0.1467
0.400 quantile:	acc: 0.9605	loss: 0.1480
0.450 quantile:	acc: 0.9609	loss: 0.1493
0.500 quantile:	acc: 0.9612	loss: 0.1507
0.550 quantile:	acc: 0.9615	loss: 0.1522
0.600 quantile:	acc: 0.9618	loss: 0.1538
0.650 quantile:	acc: 0.9621	loss: 0.1556
0.700 quantile:	acc: 0.9625	loss: 0.1574
0.750 quantile:	acc: 0.9629	loss: 0.1596
0.800 quantile:	acc: 0.9633	loss: 0.1621
0.850 quantile:	acc: 0.9637	loss: 0.1651
0.900 quantile:	acc: 0.9642	loss: 0.1690
0.950 quantile:	acc: 0.9649	loss: 0.1754
Expectation:	acc: 0.9608	loss: 0.1526
Variance:	acc: 0.0000	loss: 0.0002
