0.050 quantile:	acc: 0.9296	loss: 0.2242
0.100 quantile:	acc: 0.9306	loss: 0.2257
0.150 quantile:	acc: 0.9312	loss: 0.2269
0.200 quantile:	acc: 0.9316	loss: 0.2278
0.250 quantile:	acc: 0.9320	loss: 0.2287
0.300 quantile:	acc: 0.9323	loss: 0.2295
0.350 quantile:	acc: 0.9326	loss: 0.2303
0.400 quantile:	acc: 0.9329	loss: 0.2310
0.450 quantile:	acc: 0.9331	loss: 0.2318
0.500 quantile:	acc: 0.9334	loss: 0.2326
0.550 quantile:	acc: 0.9336	loss: 0.2334
0.600 quantile:	acc: 0.9338	loss: 0.2343
0.650 quantile:	acc: 0.9341	loss: 0.2352
0.700 quantile:	acc: 0.9343	loss: 0.2363
0.750 quantile:	acc: 0.9345	loss: 0.2375
0.800 quantile:	acc: 0.9348	loss: 0.2390
0.850 quantile:	acc: 0.9351	loss: 0.2406
0.900 quantile:	acc: 0.9354	loss: 0.2429
0.950 quantile:	acc: 0.9360	loss: 0.2465
Expectation:	acc: 0.9332	loss: 0.2337
Variance:	acc: 0.0000	loss: 0.0000
