0.050 quantile:	acc: 0.9683	loss: 0.0910
0.100 quantile:	acc: 0.9691	loss: 0.0925
0.150 quantile:	acc: 0.9695	loss: 0.0936
0.200 quantile:	acc: 0.9699	loss: 0.0944
0.250 quantile:	acc: 0.9702	loss: 0.0952
0.300 quantile:	acc: 0.9704	loss: 0.0959
0.350 quantile:	acc: 0.9707	loss: 0.0966
0.400 quantile:	acc: 0.9709	loss: 0.0973
0.450 quantile:	acc: 0.9711	loss: 0.0979
0.500 quantile:	acc: 0.9713	loss: 0.0986
0.550 quantile:	acc: 0.9716	loss: 0.0992
0.600 quantile:	acc: 0.9718	loss: 0.1000
0.650 quantile:	acc: 0.9719	loss: 0.1007
0.700 quantile:	acc: 0.9722	loss: 0.1016
0.750 quantile:	acc: 0.9724	loss: 0.1025
0.800 quantile:	acc: 0.9726	loss: 0.1035
0.850 quantile:	acc: 0.9729	loss: 0.1048
0.900 quantile:	acc: 0.9733	loss: 0.1063
0.950 quantile:	acc: 0.9737	loss: 0.1088
Expectation:	acc: 0.9712	loss: 0.0991
Variance:	acc: 0.0000	loss: 0.0000
