0.050 quantile:	acc: 0.9738	loss: 0.0789
0.100 quantile:	acc: 0.9742	loss: 0.0797
0.150 quantile:	acc: 0.9746	loss: 0.0803
0.200 quantile:	acc: 0.9748	loss: 0.0808
0.250 quantile:	acc: 0.9750	loss: 0.0813
0.300 quantile:	acc: 0.9752	loss: 0.0817
0.350 quantile:	acc: 0.9753	loss: 0.0821
0.400 quantile:	acc: 0.9755	loss: 0.0825
0.450 quantile:	acc: 0.9756	loss: 0.0829
0.500 quantile:	acc: 0.9757	loss: 0.0832
0.550 quantile:	acc: 0.9759	loss: 0.0836
0.600 quantile:	acc: 0.9760	loss: 0.0840
0.650 quantile:	acc: 0.9761	loss: 0.0844
0.700 quantile:	acc: 0.9763	loss: 0.0849
0.750 quantile:	acc: 0.9764	loss: 0.0854
0.800 quantile:	acc: 0.9766	loss: 0.0859
0.850 quantile:	acc: 0.9768	loss: 0.0866
0.900 quantile:	acc: 0.9770	loss: 0.0876
0.950 quantile:	acc: 0.9774	loss: 0.0890
Expectation:	acc: 0.9757	loss: 0.0835
Variance:	acc: 0.0000	loss: 0.0000
