0.050 quantile:	acc: 0.9516	loss: 0.1409
0.100 quantile:	acc: 0.9540	loss: 0.1443
0.150 quantile:	acc: 0.9552	loss: 0.1468
0.200 quantile:	acc: 0.9561	loss: 0.1489
0.250 quantile:	acc: 0.9569	loss: 0.1508
0.300 quantile:	acc: 0.9575	loss: 0.1524
0.350 quantile:	acc: 0.9581	loss: 0.1541
0.400 quantile:	acc: 0.9586	loss: 0.1557
0.450 quantile:	acc: 0.9590	loss: 0.1574
0.500 quantile:	acc: 0.9594	loss: 0.1592
0.550 quantile:	acc: 0.9598	loss: 0.1610
0.600 quantile:	acc: 0.9602	loss: 0.1629
0.650 quantile:	acc: 0.9607	loss: 0.1650
0.700 quantile:	acc: 0.9611	loss: 0.1672
0.750 quantile:	acc: 0.9615	loss: 0.1698
0.800 quantile:	acc: 0.9620	loss: 0.1730
0.850 quantile:	acc: 0.9625	loss: 0.1767
0.900 quantile:	acc: 0.9631	loss: 0.1824
0.950 quantile:	acc: 0.9639	loss: 0.1910
Expectation:	acc: 0.9588	loss: 0.1617
Variance:	acc: 0.0000	loss: 0.0003
