0.050 quantile:	acc: 0.6797	loss: 0.6711
0.100 quantile:	acc: 0.7031	loss: 0.7006
0.150 quantile:	acc: 0.7179	loss: 0.7196
0.200 quantile:	acc: 0.7288	loss: 0.7368
0.250 quantile:	acc: 0.7371	loss: 0.7521
0.300 quantile:	acc: 0.7451	loss: 0.7661
0.350 quantile:	acc: 0.7521	loss: 0.7801
0.400 quantile:	acc: 0.7583	loss: 0.7932
0.450 quantile:	acc: 0.7639	loss: 0.8067
0.500 quantile:	acc: 0.7688	loss: 0.8193
0.550 quantile:	acc: 0.7738	loss: 0.8333
0.600 quantile:	acc: 0.7786	loss: 0.8476
0.650 quantile:	acc: 0.7835	loss: 0.8642
0.700 quantile:	acc: 0.7882	loss: 0.8804
0.750 quantile:	acc: 0.7928	loss: 0.8992
0.800 quantile:	acc: 0.7978	loss: 0.9234
0.850 quantile:	acc: 0.8031	loss: 0.9527
0.900 quantile:	acc: 0.8090	loss: 0.9933
0.950 quantile:	acc: 0.8174	loss: 1.0633
Expectation:	acc: 0.7614	loss: 0.8376
Variance:	acc: 0.0018	loss: 0.0157
