0.050 quantile:	acc: 0.9743	loss: 0.0885
0.100 quantile:	acc: 0.9746	loss: 0.0894
0.150 quantile:	acc: 0.9749	loss: 0.0899
0.200 quantile:	acc: 0.9751	loss: 0.0904
0.250 quantile:	acc: 0.9752	loss: 0.0908
0.300 quantile:	acc: 0.9754	loss: 0.0911
0.350 quantile:	acc: 0.9755	loss: 0.0914
0.400 quantile:	acc: 0.9756	loss: 0.0917
0.450 quantile:	acc: 0.9757	loss: 0.0921
0.500 quantile:	acc: 0.9758	loss: 0.0923
0.550 quantile:	acc: 0.9760	loss: 0.0926
0.600 quantile:	acc: 0.9761	loss: 0.0930
0.650 quantile:	acc: 0.9762	loss: 0.0933
0.700 quantile:	acc: 0.9763	loss: 0.0937
0.750 quantile:	acc: 0.9764	loss: 0.0941
0.800 quantile:	acc: 0.9765	loss: 0.0945
0.850 quantile:	acc: 0.9767	loss: 0.0952
0.900 quantile:	acc: 0.9769	loss: 0.0959
0.950 quantile:	acc: 0.9772	loss: 0.0970
Expectation:	acc: 0.9758	loss: 0.0925
Variance:	acc: 0.0000	loss: 0.0000
