0.050 quantile:	acc: 0.9502	loss: 0.1562
0.100 quantile:	acc: 0.9514	loss: 0.1585
0.150 quantile:	acc: 0.9521	loss: 0.1601
0.200 quantile:	acc: 0.9526	loss: 0.1614
0.250 quantile:	acc: 0.9530	loss: 0.1626
0.300 quantile:	acc: 0.9534	loss: 0.1636
0.350 quantile:	acc: 0.9537	loss: 0.1647
0.400 quantile:	acc: 0.9540	loss: 0.1656
0.450 quantile:	acc: 0.9543	loss: 0.1667
0.500 quantile:	acc: 0.9545	loss: 0.1677
0.550 quantile:	acc: 0.9548	loss: 0.1689
0.600 quantile:	acc: 0.9551	loss: 0.1701
0.650 quantile:	acc: 0.9553	loss: 0.1714
0.700 quantile:	acc: 0.9556	loss: 0.1727
0.750 quantile:	acc: 0.9558	loss: 0.1742
0.800 quantile:	acc: 0.9562	loss: 0.1759
0.850 quantile:	acc: 0.9565	loss: 0.1778
0.900 quantile:	acc: 0.9569	loss: 0.1806
0.950 quantile:	acc: 0.9575	loss: 0.1855
Expectation:	acc: 0.9543	loss: 0.1689
Variance:	acc: 0.0000	loss: 0.0001
