0.050 quantile:	acc: 0.9400	loss: 0.1898
0.100 quantile:	acc: 0.9423	loss: 0.1939
0.150 quantile:	acc: 0.9437	loss: 0.1966
0.200 quantile:	acc: 0.9447	loss: 0.1990
0.250 quantile:	acc: 0.9454	loss: 0.2010
0.300 quantile:	acc: 0.9460	loss: 0.2028
0.350 quantile:	acc: 0.9466	loss: 0.2047
0.400 quantile:	acc: 0.9471	loss: 0.2065
0.450 quantile:	acc: 0.9475	loss: 0.2082
0.500 quantile:	acc: 0.9480	loss: 0.2100
0.550 quantile:	acc: 0.9484	loss: 0.2120
0.600 quantile:	acc: 0.9488	loss: 0.2142
0.650 quantile:	acc: 0.9492	loss: 0.2165
0.700 quantile:	acc: 0.9496	loss: 0.2191
0.750 quantile:	acc: 0.9501	loss: 0.2217
0.800 quantile:	acc: 0.9505	loss: 0.2248
0.850 quantile:	acc: 0.9510	loss: 0.2289
0.900 quantile:	acc: 0.9516	loss: 0.2342
0.950 quantile:	acc: 0.9525	loss: 0.2441
Expectation:	acc: 0.9473	loss: 0.2127
Variance:	acc: 0.0000	loss: 0.0003
