0.050 quantile:	acc: 0.7718	loss: 0.4396
0.100 quantile:	acc: 0.7946	loss: 0.4604
0.150 quantile:	acc: 0.8099	loss: 0.4759
0.200 quantile:	acc: 0.8207	loss: 0.4883
0.250 quantile:	acc: 0.8294	loss: 0.4990
0.300 quantile:	acc: 0.8370	loss: 0.5088
0.350 quantile:	acc: 0.8441	loss: 0.5184
0.400 quantile:	acc: 0.8504	loss: 0.5279
0.450 quantile:	acc: 0.8560	loss: 0.5370
0.500 quantile:	acc: 0.8611	loss: 0.5458
0.550 quantile:	acc: 0.8661	loss: 0.5550
0.600 quantile:	acc: 0.8710	loss: 0.5652
0.650 quantile:	acc: 0.8760	loss: 0.5752
0.700 quantile:	acc: 0.8807	loss: 0.5869
0.750 quantile:	acc: 0.8860	loss: 0.6004
0.800 quantile:	acc: 0.8913	loss: 0.6160
0.850 quantile:	acc: 0.8974	loss: 0.6343
0.900 quantile:	acc: 0.9045	loss: 0.6577
0.950 quantile:	acc: 0.9129	loss: 0.6971
Expectation:	acc: 0.8541	loss: 0.5543
Variance:	acc: 0.0020	loss: 0.0064
