0.050 quantile:	acc: 0.9565	loss: 0.1341
0.100 quantile:	acc: 0.9580	loss: 0.1369
0.150 quantile:	acc: 0.9588	loss: 0.1391
0.200 quantile:	acc: 0.9595	loss: 0.1408
0.250 quantile:	acc: 0.9600	loss: 0.1423
0.300 quantile:	acc: 0.9604	loss: 0.1438
0.350 quantile:	acc: 0.9608	loss: 0.1453
0.400 quantile:	acc: 0.9612	loss: 0.1467
0.450 quantile:	acc: 0.9615	loss: 0.1482
0.500 quantile:	acc: 0.9618	loss: 0.1496
0.550 quantile:	acc: 0.9622	loss: 0.1510
0.600 quantile:	acc: 0.9625	loss: 0.1524
0.650 quantile:	acc: 0.9628	loss: 0.1541
0.700 quantile:	acc: 0.9631	loss: 0.1559
0.750 quantile:	acc: 0.9634	loss: 0.1578
0.800 quantile:	acc: 0.9638	loss: 0.1599
0.850 quantile:	acc: 0.9642	loss: 0.1627
0.900 quantile:	acc: 0.9647	loss: 0.1669
0.950 quantile:	acc: 0.9654	loss: 0.1729
Expectation:	acc: 0.9615	loss: 0.1510
Variance:	acc: 0.0000	loss: 0.0001
