0.050 quantile:	acc: 0.7114	loss: 0.5094
0.100 quantile:	acc: 0.7343	loss: 0.5272
0.150 quantile:	acc: 0.7436	loss: 0.5402
0.200 quantile:	acc: 0.7502	loss: 0.5516
0.250 quantile:	acc: 0.7573	loss: 0.5615
0.300 quantile:	acc: 0.7698	loss: 0.5707
0.350 quantile:	acc: 0.7867	loss: 0.5796
0.400 quantile:	acc: 0.7996	loss: 0.5879
0.450 quantile:	acc: 0.8095	loss: 0.5966
0.500 quantile:	acc: 0.8170	loss: 0.6056
0.550 quantile:	acc: 0.8227	loss: 0.6147
0.600 quantile:	acc: 0.8285	loss: 0.6251
0.650 quantile:	acc: 0.8329	loss: 0.6355
0.700 quantile:	acc: 0.8366	loss: 0.6472
0.750 quantile:	acc: 0.8406	loss: 0.6616
0.800 quantile:	acc: 0.8465	loss: 0.6764
0.850 quantile:	acc: 0.8573	loss: 0.6984
0.900 quantile:	acc: 0.8727	loss: 0.7266
0.950 quantile:	acc: 0.8869	loss: 0.7749
Expectation:	acc: 0.8036	loss: 0.6194
Variance:	acc: 0.0032	loss: 0.0074
