0.050 quantile:	acc: 0.9417	loss: 0.1928
0.100 quantile:	acc: 0.9434	loss: 0.1961
0.150 quantile:	acc: 0.9445	loss: 0.1986
0.200 quantile:	acc: 0.9453	loss: 0.2006
0.250 quantile:	acc: 0.9460	loss: 0.2024
0.300 quantile:	acc: 0.9466	loss: 0.2042
0.350 quantile:	acc: 0.9470	loss: 0.2059
0.400 quantile:	acc: 0.9475	loss: 0.2075
0.450 quantile:	acc: 0.9479	loss: 0.2092
0.500 quantile:	acc: 0.9482	loss: 0.2109
0.550 quantile:	acc: 0.9486	loss: 0.2127
0.600 quantile:	acc: 0.9489	loss: 0.2146
0.650 quantile:	acc: 0.9492	loss: 0.2167
0.700 quantile:	acc: 0.9496	loss: 0.2190
0.750 quantile:	acc: 0.9500	loss: 0.2216
0.800 quantile:	acc: 0.9504	loss: 0.2246
0.850 quantile:	acc: 0.9509	loss: 0.2281
0.900 quantile:	acc: 0.9514	loss: 0.2331
0.950 quantile:	acc: 0.9522	loss: 0.2413
Expectation:	acc: 0.9477	loss: 0.2133
Variance:	acc: 0.0000	loss: 0.0002
