0.050 quantile:	acc: 0.9532	loss: 0.1370
0.100 quantile:	acc: 0.9551	loss: 0.1402
0.150 quantile:	acc: 0.9563	loss: 0.1423
0.200 quantile:	acc: 0.9571	loss: 0.1442
0.250 quantile:	acc: 0.9578	loss: 0.1458
0.300 quantile:	acc: 0.9583	loss: 0.1473
0.350 quantile:	acc: 0.9588	loss: 0.1487
0.400 quantile:	acc: 0.9592	loss: 0.1502
0.450 quantile:	acc: 0.9597	loss: 0.1517
0.500 quantile:	acc: 0.9600	loss: 0.1533
0.550 quantile:	acc: 0.9604	loss: 0.1548
0.600 quantile:	acc: 0.9608	loss: 0.1566
0.650 quantile:	acc: 0.9611	loss: 0.1585
0.700 quantile:	acc: 0.9615	loss: 0.1605
0.750 quantile:	acc: 0.9619	loss: 0.1627
0.800 quantile:	acc: 0.9623	loss: 0.1654
0.850 quantile:	acc: 0.9627	loss: 0.1688
0.900 quantile:	acc: 0.9633	loss: 0.1734
0.950 quantile:	acc: 0.9641	loss: 0.1816
Expectation:	acc: 0.9595	loss: 0.1556
Variance:	acc: 0.0000	loss: 0.0002
