0.050 quantile:	acc: 0.9660	loss: 0.0998
0.100 quantile:	acc: 0.9670	loss: 0.1013
0.150 quantile:	acc: 0.9676	loss: 0.1024
0.200 quantile:	acc: 0.9680	loss: 0.1034
0.250 quantile:	acc: 0.9684	loss: 0.1043
0.300 quantile:	acc: 0.9687	loss: 0.1050
0.350 quantile:	acc: 0.9689	loss: 0.1058
0.400 quantile:	acc: 0.9692	loss: 0.1065
0.450 quantile:	acc: 0.9694	loss: 0.1073
0.500 quantile:	acc: 0.9696	loss: 0.1080
0.550 quantile:	acc: 0.9699	loss: 0.1087
0.600 quantile:	acc: 0.9701	loss: 0.1095
0.650 quantile:	acc: 0.9703	loss: 0.1104
0.700 quantile:	acc: 0.9705	loss: 0.1113
0.750 quantile:	acc: 0.9708	loss: 0.1124
0.800 quantile:	acc: 0.9710	loss: 0.1137
0.850 quantile:	acc: 0.9713	loss: 0.1151
0.900 quantile:	acc: 0.9717	loss: 0.1172
0.950 quantile:	acc: 0.9722	loss: 0.1204
Expectation:	acc: 0.9695	loss: 0.1088
Variance:	acc: 0.0000	loss: 0.0000
