0.050 quantile:	acc: 0.9551	loss: 0.1331
0.100 quantile:	acc: 0.9570	loss: 0.1362
0.150 quantile:	acc: 0.9581	loss: 0.1385
0.200 quantile:	acc: 0.9588	loss: 0.1404
0.250 quantile:	acc: 0.9594	loss: 0.1419
0.300 quantile:	acc: 0.9599	loss: 0.1435
0.350 quantile:	acc: 0.9603	loss: 0.1450
0.400 quantile:	acc: 0.9608	loss: 0.1464
0.450 quantile:	acc: 0.9612	loss: 0.1480
0.500 quantile:	acc: 0.9616	loss: 0.1495
0.550 quantile:	acc: 0.9619	loss: 0.1510
0.600 quantile:	acc: 0.9622	loss: 0.1526
0.650 quantile:	acc: 0.9626	loss: 0.1543
0.700 quantile:	acc: 0.9629	loss: 0.1561
0.750 quantile:	acc: 0.9633	loss: 0.1582
0.800 quantile:	acc: 0.9637	loss: 0.1608
0.850 quantile:	acc: 0.9641	loss: 0.1642
0.900 quantile:	acc: 0.9647	loss: 0.1686
0.950 quantile:	acc: 0.9655	loss: 0.1761
Expectation:	acc: 0.9610	loss: 0.1513
Variance:	acc: 0.0000	loss: 0.0002
