0.050 quantile:	acc: 0.9553	loss: 0.1328
0.100 quantile:	acc: 0.9570	loss: 0.1357
0.150 quantile:	acc: 0.9580	loss: 0.1380
0.200 quantile:	acc: 0.9588	loss: 0.1399
0.250 quantile:	acc: 0.9595	loss: 0.1415
0.300 quantile:	acc: 0.9600	loss: 0.1432
0.350 quantile:	acc: 0.9604	loss: 0.1446
0.400 quantile:	acc: 0.9609	loss: 0.1462
0.450 quantile:	acc: 0.9613	loss: 0.1477
0.500 quantile:	acc: 0.9616	loss: 0.1491
0.550 quantile:	acc: 0.9620	loss: 0.1507
0.600 quantile:	acc: 0.9623	loss: 0.1522
0.650 quantile:	acc: 0.9627	loss: 0.1541
0.700 quantile:	acc: 0.9630	loss: 0.1560
0.750 quantile:	acc: 0.9634	loss: 0.1583
0.800 quantile:	acc: 0.9638	loss: 0.1608
0.850 quantile:	acc: 0.9643	loss: 0.1639
0.900 quantile:	acc: 0.9648	loss: 0.1678
0.950 quantile:	acc: 0.9657	loss: 0.1749
Expectation:	acc: 0.9612	loss: 0.1509
Variance:	acc: 0.0000	loss: 0.0002
