0.050 quantile:	acc: 0.7525	loss: 0.4454
0.100 quantile:	acc: 0.7812	loss: 0.4705
0.150 quantile:	acc: 0.8005	loss: 0.4899
0.200 quantile:	acc: 0.8135	loss: 0.5046
0.250 quantile:	acc: 0.8244	loss: 0.5182
0.300 quantile:	acc: 0.8339	loss: 0.5306
0.350 quantile:	acc: 0.8416	loss: 0.5438
0.400 quantile:	acc: 0.8493	loss: 0.5571
0.450 quantile:	acc: 0.8566	loss: 0.5691
0.500 quantile:	acc: 0.8628	loss: 0.5812
0.550 quantile:	acc: 0.8691	loss: 0.5948
0.600 quantile:	acc: 0.8751	loss: 0.6085
0.650 quantile:	acc: 0.8806	loss: 0.6227
0.700 quantile:	acc: 0.8859	loss: 0.6399
0.750 quantile:	acc: 0.8913	loss: 0.6584
0.800 quantile:	acc: 0.8974	loss: 0.6799
0.850 quantile:	acc: 0.9033	loss: 0.7073
0.900 quantile:	acc: 0.9107	loss: 0.7436
0.950 quantile:	acc: 0.9202	loss: 0.8073
Expectation:	acc: 0.8529	loss: 0.5979
Variance:	acc: 0.0028	loss: 0.0130
