0.050 quantile:	acc: 0.9497	loss: 0.1631
0.100 quantile:	acc: 0.9508	loss: 0.1657
0.150 quantile:	acc: 0.9515	loss: 0.1676
0.200 quantile:	acc: 0.9521	loss: 0.1691
0.250 quantile:	acc: 0.9525	loss: 0.1704
0.300 quantile:	acc: 0.9528	loss: 0.1717
0.350 quantile:	acc: 0.9532	loss: 0.1729
0.400 quantile:	acc: 0.9535	loss: 0.1740
0.450 quantile:	acc: 0.9538	loss: 0.1751
0.500 quantile:	acc: 0.9540	loss: 0.1762
0.550 quantile:	acc: 0.9543	loss: 0.1773
0.600 quantile:	acc: 0.9546	loss: 0.1785
0.650 quantile:	acc: 0.9549	loss: 0.1798
0.700 quantile:	acc: 0.9552	loss: 0.1810
0.750 quantile:	acc: 0.9555	loss: 0.1825
0.800 quantile:	acc: 0.9558	loss: 0.1842
0.850 quantile:	acc: 0.9562	loss: 0.1864
0.900 quantile:	acc: 0.9566	loss: 0.1890
0.950 quantile:	acc: 0.9572	loss: 0.1934
Expectation:	acc: 0.9538	loss: 0.1770
Variance:	acc: 0.0000	loss: 0.0001
