0.050 quantile:	acc: 0.9616	loss: 0.1064
0.100 quantile:	acc: 0.9631	loss: 0.1089
0.150 quantile:	acc: 0.9640	loss: 0.1106
0.200 quantile:	acc: 0.9646	loss: 0.1119
0.250 quantile:	acc: 0.9651	loss: 0.1131
0.300 quantile:	acc: 0.9655	loss: 0.1143
0.350 quantile:	acc: 0.9659	loss: 0.1155
0.400 quantile:	acc: 0.9663	loss: 0.1167
0.450 quantile:	acc: 0.9666	loss: 0.1179
0.500 quantile:	acc: 0.9669	loss: 0.1190
0.550 quantile:	acc: 0.9673	loss: 0.1202
0.600 quantile:	acc: 0.9676	loss: 0.1215
0.650 quantile:	acc: 0.9679	loss: 0.1229
0.700 quantile:	acc: 0.9682	loss: 0.1245
0.750 quantile:	acc: 0.9685	loss: 0.1261
0.800 quantile:	acc: 0.9689	loss: 0.1281
0.850 quantile:	acc: 0.9693	loss: 0.1306
0.900 quantile:	acc: 0.9698	loss: 0.1341
0.950 quantile:	acc: 0.9704	loss: 0.1393
Expectation:	acc: 0.9666	loss: 0.1204
Variance:	acc: 0.0000	loss: 0.0001
