0.050 quantile:	acc: 0.9530	loss: 0.1343
0.100 quantile:	acc: 0.9552	loss: 0.1379
0.150 quantile:	acc: 0.9565	loss: 0.1403
0.200 quantile:	acc: 0.9574	loss: 0.1424
0.250 quantile:	acc: 0.9581	loss: 0.1443
0.300 quantile:	acc: 0.9588	loss: 0.1462
0.350 quantile:	acc: 0.9593	loss: 0.1480
0.400 quantile:	acc: 0.9598	loss: 0.1497
0.450 quantile:	acc: 0.9603	loss: 0.1514
0.500 quantile:	acc: 0.9607	loss: 0.1530
0.550 quantile:	acc: 0.9611	loss: 0.1548
0.600 quantile:	acc: 0.9615	loss: 0.1568
0.650 quantile:	acc: 0.9619	loss: 0.1589
0.700 quantile:	acc: 0.9623	loss: 0.1611
0.750 quantile:	acc: 0.9628	loss: 0.1636
0.800 quantile:	acc: 0.9633	loss: 0.1667
0.850 quantile:	acc: 0.9638	loss: 0.1706
0.900 quantile:	acc: 0.9644	loss: 0.1759
0.950 quantile:	acc: 0.9652	loss: 0.1846
Expectation:	acc: 0.9601	loss: 0.1554
Variance:	acc: 0.0000	loss: 0.0003
