0.050 quantile:	acc: 0.9056	loss: 0.2785
0.100 quantile:	acc: 0.9139	loss: 0.2848
0.150 quantile:	acc: 0.9173	loss: 0.2893
0.200 quantile:	acc: 0.9195	loss: 0.2933
0.250 quantile:	acc: 0.9210	loss: 0.2972
0.300 quantile:	acc: 0.9223	loss: 0.3006
0.350 quantile:	acc: 0.9234	loss: 0.3043
0.400 quantile:	acc: 0.9244	loss: 0.3076
0.450 quantile:	acc: 0.9251	loss: 0.3111
0.500 quantile:	acc: 0.9259	loss: 0.3145
0.550 quantile:	acc: 0.9266	loss: 0.3183
0.600 quantile:	acc: 0.9273	loss: 0.3225
0.650 quantile:	acc: 0.9280	loss: 0.3269
0.700 quantile:	acc: 0.9287	loss: 0.3318
0.750 quantile:	acc: 0.9294	loss: 0.3379
0.800 quantile:	acc: 0.9301	loss: 0.3448
0.850 quantile:	acc: 0.9309	loss: 0.3532
0.900 quantile:	acc: 0.9319	loss: 0.3652
0.950 quantile:	acc: 0.9332	loss: 0.3879
Expectation:	acc: 0.9232	loss: 0.3219
Variance:	acc: 0.0001	loss: 0.0016
