0.050 quantile:	acc: 0.9730	loss: 0.0828
0.100 quantile:	acc: 0.9734	loss: 0.0841
0.150 quantile:	acc: 0.9738	loss: 0.0849
0.200 quantile:	acc: 0.9740	loss: 0.0855
0.250 quantile:	acc: 0.9742	loss: 0.0861
0.300 quantile:	acc: 0.9744	loss: 0.0866
0.350 quantile:	acc: 0.9746	loss: 0.0871
0.400 quantile:	acc: 0.9748	loss: 0.0876
0.450 quantile:	acc: 0.9749	loss: 0.0881
0.500 quantile:	acc: 0.9751	loss: 0.0886
0.550 quantile:	acc: 0.9752	loss: 0.0891
0.600 quantile:	acc: 0.9754	loss: 0.0896
0.650 quantile:	acc: 0.9755	loss: 0.0901
0.700 quantile:	acc: 0.9757	loss: 0.0907
0.750 quantile:	acc: 0.9759	loss: 0.0914
0.800 quantile:	acc: 0.9760	loss: 0.0921
0.850 quantile:	acc: 0.9763	loss: 0.0930
0.900 quantile:	acc: 0.9765	loss: 0.0941
0.950 quantile:	acc: 0.9769	loss: 0.0959
Expectation:	acc: 0.9750	loss: 0.0889
Variance:	acc: 0.0000	loss: 0.0000
