0.050 quantile:	acc: 0.9665	loss: 0.0953
0.100 quantile:	acc: 0.9675	loss: 0.0971
0.150 quantile:	acc: 0.9681	loss: 0.0983
0.200 quantile:	acc: 0.9686	loss: 0.0995
0.250 quantile:	acc: 0.9690	loss: 0.1004
0.300 quantile:	acc: 0.9693	loss: 0.1014
0.350 quantile:	acc: 0.9696	loss: 0.1022
0.400 quantile:	acc: 0.9699	loss: 0.1030
0.450 quantile:	acc: 0.9701	loss: 0.1038
0.500 quantile:	acc: 0.9703	loss: 0.1047
0.550 quantile:	acc: 0.9706	loss: 0.1055
0.600 quantile:	acc: 0.9708	loss: 0.1065
0.650 quantile:	acc: 0.9710	loss: 0.1074
0.700 quantile:	acc: 0.9713	loss: 0.1084
0.750 quantile:	acc: 0.9715	loss: 0.1096
0.800 quantile:	acc: 0.9718	loss: 0.1110
0.850 quantile:	acc: 0.9721	loss: 0.1126
0.900 quantile:	acc: 0.9725	loss: 0.1147
0.950 quantile:	acc: 0.9730	loss: 0.1188
Expectation:	acc: 0.9701	loss: 0.1055
Variance:	acc: 0.0000	loss: 0.0001
