0.050 quantile:	acc: 0.9176	loss: 0.2659
0.100 quantile:	acc: 0.9229	loss: 0.2712
0.150 quantile:	acc: 0.9250	loss: 0.2751
0.200 quantile:	acc: 0.9264	loss: 0.2783
0.250 quantile:	acc: 0.9274	loss: 0.2811
0.300 quantile:	acc: 0.9283	loss: 0.2839
0.350 quantile:	acc: 0.9290	loss: 0.2866
0.400 quantile:	acc: 0.9297	loss: 0.2894
0.450 quantile:	acc: 0.9302	loss: 0.2922
0.500 quantile:	acc: 0.9307	loss: 0.2949
0.550 quantile:	acc: 0.9313	loss: 0.2981
0.600 quantile:	acc: 0.9317	loss: 0.3015
0.650 quantile:	acc: 0.9322	loss: 0.3048
0.700 quantile:	acc: 0.9327	loss: 0.3086
0.750 quantile:	acc: 0.9331	loss: 0.3134
0.800 quantile:	acc: 0.9336	loss: 0.3185
0.850 quantile:	acc: 0.9342	loss: 0.3255
0.900 quantile:	acc: 0.9349	loss: 0.3350
0.950 quantile:	acc: 0.9359	loss: 0.3515
Expectation:	acc: 0.9288	loss: 0.3004
Variance:	acc: 0.0001	loss: 0.0008
