0.050 quantile:	acc: 0.9737	loss: 0.0801
0.100 quantile:	acc: 0.9742	loss: 0.0810
0.150 quantile:	acc: 0.9745	loss: 0.0817
0.200 quantile:	acc: 0.9748	loss: 0.0822
0.250 quantile:	acc: 0.9750	loss: 0.0827
0.300 quantile:	acc: 0.9751	loss: 0.0831
0.350 quantile:	acc: 0.9753	loss: 0.0836
0.400 quantile:	acc: 0.9755	loss: 0.0839
0.450 quantile:	acc: 0.9756	loss: 0.0843
0.500 quantile:	acc: 0.9757	loss: 0.0848
0.550 quantile:	acc: 0.9759	loss: 0.0852
0.600 quantile:	acc: 0.9760	loss: 0.0857
0.650 quantile:	acc: 0.9761	loss: 0.0861
0.700 quantile:	acc: 0.9763	loss: 0.0866
0.750 quantile:	acc: 0.9764	loss: 0.0871
0.800 quantile:	acc: 0.9766	loss: 0.0878
0.850 quantile:	acc: 0.9768	loss: 0.0885
0.900 quantile:	acc: 0.9771	loss: 0.0896
0.950 quantile:	acc: 0.9774	loss: 0.0911
Expectation:	acc: 0.9757	loss: 0.0851
Variance:	acc: 0.0000	loss: 0.0000
